-400,-8,26,-494,-50,73,553,-134,81,483,-62,5,
-406,-28,8,-494,-50,73,546,-115,96,483,-62,5,
-406,-28,8,-482,-50,62,546,-115,96,485,-57,15,
-419,-56,39,-461,-30,61,520,-51,87,493,-64,13,
-462,-64,47,-461,-30,61,495,-24,86,493,-64,13,
-462,-64,47,-438,-38,44,495,-24,86,497,-55,25,
-512,-76,22,-418,-60,27,484,-67,99,489,-57,21,
-508,-79,20,-418,-60,27,485,-77,91,489,-57,21,
-508,-79,20,-428,-52,19,485,-77,91,469,-58,0,
-516,-35,38,-442,-38,-1,488,-86,91,466,-74,0,
-530,-2,38,-442,-38,-1,493,-96,101,466,-74,0,
-530,-2,59,-436,-37,2,493,-96,101,474,-72,-4,
-524,2,50,-433,-37,2,499,-72,66,492,-59,-32,
-494,2,50,-433,-60,26,524,-70,40,492,-59,-32,
-494,-15,45,-445,-74,41,524,-70,40,500,-46,-51,
-436,-35,72,-466,-74,41,565,-112,67,477,-22,-51,
-403,-35,72,-466,-51,60,571,-121,74,477,-22,-41,
-403,-35,69,-485,-47,44,571,-121,74,460,-2,-10,
-394,-23,19,-485,-47,44,558,-90,70,461,2,-10,
-394,-23,19,-488,-68,20,539,-75,70,461,2,1,
-413,-39,-1,-480,-55,19,539,-75,55,486,0,0,
-432,-31,12,-480,-55,19,562,-71,52,514,0,0,
-432,-31,12,-470,-29,37,576,-71,52,514,-3,26,
-438,-30,21,-458,-34,49,576,-102,50,523,-15,74,
-457,-70,32,-458,-34,49,550,-120,43,524,-15,74,
-457,-70,32,-463,-55,22,550,-120,43,524,-29,97,
-476,-88,56,-462,-59,-6,529,-99,62,534,-45,74,
-481,-79,55,-445,-44,-19,515,-95,71,546,-28,44,
-498,-71,38,-445,-44,-19,551,-94,72,546,-28,44,
-509,-64,46,-417,-36,-8,574,-90,79,559,-24,12,
-497,-52,37,-417,-36,-8,572,-78,92,559,-24,12,
-505,-19,30,-422,-48,62,561,-73,88,601,-50,-16,
-515,-3,49,-464,-59,64,527,-86,90,550,-70,-24,
-500,-44,55,-464,-59,64,521,-83,104,550,-70,-24,
-500,-44,55,-501,-38,36,521,-83,104,520,-86,-35,
-500,-58,41,-511,-28,20,538,-78,104,499,-62,-36,
-496,-24,48,-511,-28,20,539,-92,94,499,-62,-36,
-496,-24,48,-487,-52,25,539,-92,94,490,-57,-44,
-488,-6,19,-460,-57,24,536,-112,89,479,-68,-34,
-511,-25,-14,-425,-57,17,515,-115,94,480,-66,3,
-528,-46,-4,-425,-57,17,506,-100,96,480,-66,3,
-528,-46,-4,-409,-43,24,506,-100,96,494,-84,27,
-502,-56,11,-420,-34,24,511,-96,120,508,-77,29,
-484,-48,21,-420,-34,36,513,-78,131,508,-77,29,
-484,-48,21,-422,-29,36,513,-78,131,521,-64,0,
-499,-23,29,-427,-30,48,501,-63,110,530,-49,-13,
-479,-11,32,-467,-30,48,483,-69,107,517,-21,-20,
-440,-30,32,-467,-44,67,494,-69,107,517,-21,-20,
-440,-30,25,-492,-37,63,494,-75,109,492,-16,-46,
-412,-42,14,-492,-37,63,528,-94,93,497,-14,-48,
-412,-42,14,-488,-12,39,551,-94,93,497,-14,-48,
-412,-57,10,-483,-3,11,551,-123,72,496,-4,-20,
-415,-85,17,-483,-3,11,552,-136,63,482,7,7,
-390,-85,17,-471,-21,31,552,-136,63,482,7,7,
-388,-74,33,-475,-36,62,516,-142,61,469,18,16,
-388,-60,34,-483,-66,45,493,-145,64,459,-1,17,
